timestamp,tweet_text,username,all_hashtags,followers_count
2021-03-11 12:00:29,"b""Which federation has been recognized by the Ministry of Sports after 10 years? #GFI  The Starship prototype rocket SN10 has been successfully launched and tested by which organization? #SpaceX  The Vijayanagara ruler, Kirshnadev Raya's work Amuktamalyada, was in #Telugu""",b'Testbook_CA',"['GFI', 'SpaceX', 'Telugu']",15185
2021-03-11 11:58:00,"b'As Falcon 9 reaches thinner and thinner atmosphere the flame changes color from orange to blue, before fading away.  #Starlink20 #SpaceX #Falcon9 https://t.co/Rua0YAKAzD'",b'derekiswise',"['Starlink20', 'SpaceX', 'Falcon9']",820
2021-03-11 11:56:33,"b""President Johnson in 1967 said: 'whoever controlled space controlled global affairs.'  #SpaceX #BlueOrigin #PerseveranceRover #CuriosityRover  #Mars""",b'MolMoHsen',"['SpaceX', 'BlueOrigin', 'PerseveranceRover', 'CuriosityRover', 'Mars']",440
2021-03-11 11:56:33,"b'We are running on fumes right now but sure was worth it, another spectacular launch by #SpaceX this morning to deploy more #Starlinks to orbit.   STORY - https://t.co/4tVhtwlj8s https://t.co/34qaA6M6wE'",b'AmericaSpace',"['SpaceX', 'Starlinks']",13558
2021-03-11 11:52:53,b'#Falcon9 streaks to orbit !!  313 AM ET. Arcing away over Camera Army and ghost Ken - out of view and back down in while carrying 60 #SpaceX #Starlnk internet sat to LEO on 21st mission. From #pad40 #CCSFS 45th Space Wing https://t.co/smxRzgCbps',b'ken_kremer',"['Falcon9', 'SpaceX', 'Starlnk', 'pad40', 'CCSFS']",3586
2021-03-11 11:44:21,"b'@SpaceX @elonmusk Doge Token $DOGET lift-off shown in image below!   #dogearmy has joined Doge Token army. Together, with #SpaceX, $TSLA and #ElonMusk support, we will be unstoppable.   Thank you #Dogecoin and #Bitcoin supporters. https://t.co/aswvbFg9Za'",b'DOGE_TOKEN',"['dogearmy', 'SpaceX', 'ElonMusk', 'Dogecoin', 'Bitcoin']",732
2021-03-11 11:30:20,b'Have a Great Day......... \xf0\x9f\x98\x8e #DonaldTrump #auroraaksnes #princeharry #mortenharket #familylove #angel #guardianangel #aha  #stockmarket #golden #VaticanNews #Gladiator #pretorian #ancientrome #caesar #king #defenderlove #nicolassarkozy #ioadk #adkoh #spacex #nasa #home #heaven \xf0\x9f\x92\x98',b'SimonBrennan361',"['DonaldTrump', 'auroraaksnes', 'princeharry', 'mortenharket', 'familylove', 'angel', 'guardianangel', 'aha', 'stockmarket', 'golden', 'VaticanNews', 'Gladiator', 'pretorian', 'ancientrome', 'caesar', 'king', 'defenderlove', 'nicolassarkozy', 'ioadk', 'adkoh', 'spacex', 'nasa', 'home', 'heaven']",8
2021-03-11 11:27:45,"b""The lack of intelligence on this earth is staggering no wonder the few rule the many. How as a species we have gone forward in technology but backwards with intelligence, I don't blame scientists who look in the sky for intelligence they don't find it on earth. #SpaceX #SpaceTime""",b'recarnation0',"['SpaceX', 'SpaceTime']",26
2021-03-11 11:25:54,b'$SPACEX.IPO Awarded individual firm-fixed-price task orders totaling $160M under the National Security Space Launch Phase 2 contract #SpaceX  (More at https://t.co/OAJizFBlP1)',b'Trade_The_News',['SpaceX'],17120
2021-03-11 11:09:11,b'Happy launch day :) #SpaceX https://t.co/0qROGpL3Ta https://t.co/1Smb2FwaCc',b'SpaceXMR',['SpaceX'],3222
